source,target,weight
Rich_Barton,stevesi,1
daryn,rachelerman,1
daryn,toddbishop,1
daryn,gilbert,1
daryn,juliesandler,1
daryn,ShaunaCausey,1
daryn,moniguzman,1
daryn,mattmday,1
daryn,heatherredman,1
daryn,danshapiro,1
daryn,hadip,1
lovelletters,rachelerman,1
lovelletters,mattmcilwain,1
lovelletters,DaveParkerSEA,1
lovelletters,toddbishop,1
lovelletters,ashannstew,1
lovelletters,LeslieFeinzaig,1
lovelletters,matt_oppy,1
lovelletters,juliesandler,1
lovelletters,crashdev,1
lovelletters,ShaunaCausey,1
lovelletters,moniguzman,1
lovelletters,etzioni,1
lovelletters,MissDestructo,1
lovelletters,heatherredman,1
lovelletters,danshapiro,1
lovelletters,KieranSnyder,1
lovelletters,hadip,1
lovelletters,RajSinghSeattle,1
lovelletters,kirbywinfield,1
lovelletters,stevesi,1
lovelletters,Ryanintheus,1
lovelletters,sonalpmane,1
lovelletters,tarah,1
lovelletters,Kristen_Hammy,1
etzioni,rachelerman,1
etzioni,mattmcilwain,1
etzioni,DaveParkerSEA,1
etzioni,toddbishop,1
etzioni,gilbert,1
etzioni,juliesandler,1
etzioni,BradSmi,1
etzioni,crashdev,1
etzioni,ShaunaCausey,1
etzioni,Rich_Barton,1
etzioni,lovelletters,1
etzioni,heatherredman,1
etzioni,hadip,1
etzioni,kirbywinfield,1
MissDestructo,rachelerman,1
MissDestructo,mattmcilwain,1
MissDestructo,DaveParkerSEA,1
MissDestructo,toddbishop,1
MissDestructo,LeslieFeinzaig,1
MissDestructo,akipman,1
MissDestructo,gilbert,1
MissDestructo,juliesandler,1
MissDestructo,ShaunaCausey,1
MissDestructo,moniguzman,1
MissDestructo,mattmday,1
MissDestructo,lovelletters,1
MissDestructo,heatherredman,1
MissDestructo,danshapiro,1
MissDestructo,KieranSnyder,1
MissDestructo,RajSinghSeattle,1
MissDestructo,stevesi,1
MissDestructo,Ryanintheus,1
MissDestructo,sonalpmane,1
MissDestructo,SoGulley,1
MissDestructo,2morrowknight,1
MissDestructo,tarah,1
MissDestructo,PeterHamilton,1
heatherredman,rachelerman,1
heatherredman,DaveParkerSEA,1
heatherredman,toddbishop,1
heatherredman,ashannstew,1
heatherredman,LeslieFeinzaig,1
heatherredman,gilbert,1
heatherredman,juliesandler,1
heatherredman,BradSmi,1
heatherredman,crashdev,1
heatherredman,ShaunaCausey,1
heatherredman,Rich_Barton,1
heatherredman,lovelletters,1
heatherredman,etzioni,1
heatherredman,MissDestructo,1
heatherredman,medinism,1
heatherredman,KieranSnyder,1
heatherredman,RajSinghSeattle,1
heatherredman,kirbywinfield,1
heatherredman,stevesi,1
heatherredman,Ryanintheus,1
heatherredman,sonalpmane,1
heatherredman,SoGulley,1
heatherredman,tarah,1
heatherredman,Kristen_Hammy,1
heatherredman,mcolacurcio,1
heatherredman,marybethlambert,1
danshapiro,rachelerman,1
danshapiro,moniguzman,1
danshapiro,KieranSnyder,1
danshapiro,stevesi,1
medinism,crashdev,1
medinism,mattmday,1
KieranSnyder,rachelerman,1
KieranSnyder,toddbishop,1
KieranSnyder,LeslieFeinzaig,1
KieranSnyder,juliesandler,1
KieranSnyder,mattmday,1
KieranSnyder,etzioni,1
KieranSnyder,MissDestructo,1
KieranSnyder,danshapiro,1
KieranSnyder,stevesi,1
KieranSnyder,Kristen_Hammy,1
KieranSnyder,nhuntwalker,1
hadip,toddbishop,1
hadip,BradSmi,1
hadip,crashdev,1
hadip,Rich_Barton,1
hadip,medinism,1
hadip,stevesi,1
RajSinghSeattle,mattmcilwain,1
RajSinghSeattle,matt_oppy,1
RajSinghSeattle,BradSmi,1
RajSinghSeattle,crashdev,1
RajSinghSeattle,Rich_Barton,1
RajSinghSeattle,heatherredman,1
RajSinghSeattle,stevesi,1
funcOfJoe,mattmcilwain,1
funcOfJoe,juliesandler,1
funcOfJoe,etzioni,1
funcOfJoe,KieranSnyder,1
funcOfJoe,hadip,1
funcOfJoe,RajSinghSeattle,1
funcOfJoe,stevesi,1
kirbywinfield,DaveParkerSEA,1
kirbywinfield,LeslieFeinzaig,1
kirbywinfield,gilbert,1
kirbywinfield,juliesandler,1
kirbywinfield,lovelletters,1
kirbywinfield,etzioni,1
kirbywinfield,heatherredman,1
kirbywinfield,stevesi,1
kirbywinfield,lanctot,1
stevesi,toddbishop,1
stevesi,LeslieFeinzaig,1
stevesi,gilbert,1
stevesi,crashdev,1
stevesi,ShaunaCausey,1
stevesi,moniguzman,1
stevesi,Rich_Barton,1
stevesi,lovelletters,1
stevesi,etzioni,1
stevesi,MissDestructo,1
stevesi,heatherredman,1
stevesi,danshapiro,1
stevesi,KieranSnyder,1
stevesi,hadip,1
stevesi,kirbywinfield,1
stevesi,sonalpmane,1
stevesi,Kristen_Hammy,1
stevesi,JenMsft,1
Ryanintheus,rachelerman,1
